hex_id,hex_area,canopykmsq,canopy_per,centroid_x,centroid_y
10671255,106088.115,14071.312,13.264,505083.7441,183325.7975
10671257,106088.115,15522.1,14.631,505083.7441,183675.7975
10671259,106088.115,19768.571,18.634,505083.7441,184025.7975
10671261,106088.115,15989.966,15.072,505083.7441,184375.7975
10671277,106088.115,83495.481,78.704,505083.7441,187175.7975
10671279,106088.115,68034.461,64.13,505083.7441,187525.7975
10671281,106088.115,16944.83,15.972,505083.7441,187875.7975
10671283,106088.115,38806.556,36.58,505083.7441,188225.7975
10671285,106088.115,48701.148,45.906,505083.7441,188575.7975
10671287,106088.115,23241.524,21.908,505083.7441,188925.7975
10671289,106088.115,20970.57,19.767,505083.7441,189275.7975
10671291,106088.115,39265.698,37.012,505083.7441,189625.7975
10671293,106088.115,34988.039,32.98,505083.7441,189975.7975
10671295,106088.115,23519.109,22.169,505083.7441,190325.7975
10671297,106088.115,17004.228,16.028,505083.7441,190675.7975
10671299,106088.115,36188.68,34.112,505083.7441,191025.7975
10671301,106088.115,25493.806,24.031,505083.7441,191375.7975
10671303,106088.115,20450.72,19.277,505083.7441,191725.7975
10671305,106088.115,11981.835,11.294,505083.7441,192075.7975
10671307,106088.115,22473.082,21.183,505083.7441,192425.7975
10671309,106088.115,29311.153,27.629,505083.7441,192775.7975
10681206,106088.115,4803.821,4.528,505386.853,174750.7975
10681208,106088.115,0,0.0,505386.853,175100.7975
10681210,106088.115,0,0.0,505386.853,175450.7975
10681212,106088.115,0,0.0,505386.853,175800.7975
10681214,106088.115,0,0.0,505386.853,176150.7975
10681216,106088.115,6.295,0.006,505386.853,176500.7975
10681218,106088.115,3387.415,3.193,505386.853,176850.7975
10681220,106088.115,1892.241,1.784,505386.853,177200.7975
10681222,106088.115,22881.147,21.568,505386.853,177550.7975
10681224,106088.115,26907.121,25.363,505386.853,177900.7975
10681226,106088.115,34644.862,32.657,505386.853,178250.7975
10681228,106088.115,32801.422,30.919,505386.853,178600.7975
10681230,106088.115,27598.967,26.015,505386.853,178950.7975
10681232,106088.115,53808.287,50.72,505386.853,179300.7975
10681234,106088.115,52960.384,49.921,505386.853,179650.7975
10681236,106088.115,17791.197,16.77,505386.853,180000.7975
10681238,106088.115,29559.807,27.863,505386.853,180350.7975
10681240,106088.115,44596.294,42.037,505386.853,180700.7975
10681242,106088.115,13855.42,13.06,505386.853,181050.7975
10681244,106088.115,20428.571,19.256,505386.853,181400.7975
10681246,106088.115,18092.872,17.055,505386.853,181750.7975
10681248,106088.115,17855.785,16.831,505386.853,182100.7975
10681250,106088.115,21896.718,20.64,505386.853,182450.7975
10681252,106088.115,33297.414,31.387,505386.853,182800.7975
10681254,106088.115,21722.643,20.476,505386.853,183150.7975
10681256,106088.115,15617.538,14.721,505386.853,183500.7975
10681258,106088.115,11691.303,11.02,505386.853,183850.7975
10681260,106088.115,2071.514,1.953,505386.853,184200.7975
10681262,106088.115,19653.849,18.526,505386.853,184550.7975
10681270,106088.115,38564.444,36.351,505386.853,185950.7975
10681272,106088.115,77649.67,73.194,505386.853,186300.7975
10681274,106088.115,39321.603,37.065,505386.853,186650.7975
10681276,106088.115,42574.864,40.132,505386.853,187000.7975
10681278,106088.115,24320.318,22.925,505386.853,187350.7975
10681280,106088.115,27359.186,25.789,505386.853,187700.7975
10681282,106088.115,19970.147,18.824,505386.853,188050.7975
10681284,106088.115,28282.439,26.659,505386.853,188400.7975
10681286,106088.115,11196.906,10.554,505386.853,188750.7975
10681288,106088.115,7150.694,6.74,505386.853,189100.7975
10681290,106088.115,34330.054,32.36,505386.853,189450.7975
10681292,106088.115,20233.802,19.073,505386.853,189800.7975
10681294,106088.115,16081.236,15.158,505386.853,190150.7975
10681296,106088.115,19899.253,18.757,505386.853,190500.7975
10681298,106088.115,17075.643,16.096,505386.853,190850.7975
10681300,106088.115,14803.317,13.954,505386.853,191200.7975
10681302,106088.115,76551.319,72.158,505386.853,191550.7975
10681304,106088.115,32518.17,30.652,505386.853,191900.7975
10681306,106088.115,25061.189,23.623,505386.853,192250.7975
10681308,106088.115,10334.907,9.742,505386.853,192600.7975
10691207,106088.115,0,0.0,505689.9619,174925.7975
10691209,106088.115,0,0.0,505689.9619,175275.7975
10691211,106088.115,0,0.0,505689.9619,175625.7975
10691213,106088.115,0,0.0,505689.9619,175975.7975
10691215,106088.115,0,0.0,505689.9619,176325.7975
10691217,106088.115,132.181,0.125,505689.9619,176675.7975
10691219,106088.115,773.032,0.729,505689.9619,177025.7975
10691221,106088.115,5672.011,5.347,505689.9619,177375.7975
10691223,106088.115,17666.371,16.653,505689.9619,177725.7975
10691225,106088.115,9174.983,8.648,505689.9619,178075.7975
10691227,106088.115,28343.173,26.717,505689.9619,178425.7975
10691229,106088.115,21545.87,20.309,505689.9619,178775.7975
10691231,106088.115,43782.948,41.27,505689.9619,179125.7975
10691233,106088.115,20976.1,19.772,505689.9619,179475.7975
10691235,106088.115,30835.473,29.066,505689.9619,179825.7975
10691237,106088.115,18525.698,17.463,505689.9619,180175.7975
10691239,106088.115,10029.697,9.454,505689.9619,180525.7975
10691241,106088.115,14506.966,13.674,505689.9619,180875.7975
10691243,106088.115,8878.658,8.369,505689.9619,181225.7975
10691245,106088.115,12562.387,11.841,505689.9619,181575.7975
10691247,106088.115,26412.882,24.897,505689.9619,181925.7975
10691249,106088.115,36054.434,33.985,505689.9619,182275.7975
10691251,106088.115,18903.482,17.819,505689.9619,182625.7975
10691253,106088.115,16538.137,15.589,505689.9619,182975.7975
10691255,106088.115,19642.129,18.515,505689.9619,183325.7975
10691257,106088.115,24332.111,22.936,505689.9619,183675.7975
10691259,106088.115,5665.842,5.341,505689.9619,184025.7975
10691261,106088.115,13108.912,12.357,505689.9619,184375.7975
10691263,106088.115,25260.0,23.81,505689.9619,184725.7975
10691265,106088.115,37874.38,35.701,505689.9619,185075.7975
10691269,106088.115,52973.375,49.933,505689.9619,185775.7975
10691271,106088.115,32237.54,30.388,505689.9619,186125.7975
10691273,106088.115,54425.243,51.302,505689.9619,186475.7975
10691275,106088.115,33810.922,31.871,505689.9619,186825.7975
10691277,106088.115,43460.449,40.966,505689.9619,187175.7975
10691279,106088.115,20561.125,19.381,505689.9619,187525.7975
10691281,106088.115,40676.819,38.342,505689.9619,187875.7975
10691283,106088.115,32326.479,30.471,505689.9619,188225.7975
10691285,106088.115,8126.88,7.66,505689.9619,188575.7975
10691287,106088.115,6227.371,5.87,505689.9619,188925.7975
10691289,106088.115,12870.502,12.132,505689.9619,189275.7975
10691291,106088.115,20497.719,19.321,505689.9619,189625.7975
10691293,106088.115,22717.565,21.414,505689.9619,189975.7975
10691295,106088.115,13843.003,13.049,505689.9619,190325.7975
10691297,106088.115,13400.132,12.631,505689.9619,190675.7975
10691299,106088.115,13372.881,12.605,505689.9619,191025.7975
