"placeID","Park","canopy.coverage","Lat","Long","Nights.active","Cat","trapping_rate_cat","distance","camera_trap_id","park.size"
55,"HH",76.25,51.56479731,-0.182263438,36,2,0.055555556,335.0261046,"HH.55",3606309
84,"HH",61.519,51.56742,-0.18438,21,1,0.047619048,96.08448206,"HH.84",3606309
107,"HH",38.928,51.57006256,-0.165317647,9,2,0.222222222,282.4450978,"HH.107",3606309
110,"HH",55.008,51.57006,-0.15895,21,1,0.047619048,60.14171006,"HH.110",3606309
114,"HH",38.928,51.5718852,-0.1671858,10,1,0.1,132.8710021,"HH.114",3606309
117,"HH",48.584,51.57137888,-0.161081199,33,3,0.090909091,6.319854086,"HH.117",3606309
120,"HH",49.307,51.57269,-0.18226,19,3,0.157894737,59.27930983,"HH.120",3606309
121,"HH",46.453,51.572707,-0.1675777,21,1,0.047619048,38.23700881,"HH.121",3606309
122,"HH",46.453,51.5726848,-0.165448,21,29,1.380952381,6.171826216,"HH.122",3606309
57,"Regent",21.888,51.52506,-0.15684,14,3,0.214285714,94.78754521,"Regent.57",1798265
