placeID,Latitude ,Longitude ,Nights.active,Excluded?,Badger,Hedgehog,Cat,Deer,Dog,Fox,Horse,Mouse,Rabbit,Squirrel,Notes
78,51.41567,-0.33893,14,,0,0,No,No,No,Yes,No,No,No,No,
79,51.41568,-0.33637,27,,0,0,No,Yes,No,Yes,No,No,No,Yes,
80,51.41566,-0.33436,24,,0,2,No,Yes,No,Yes,No,No,No,No,
81,51.41566,-0.33207,24,,0,0,Yes,Yes,No,Yes,No,No,No,No,
82,51.41568,-0.33003,23,,0,1,No,Yes,No,Yes,No,Yes,Yes,No,
83,51.41576,-0.32746,24,,0,0,0,0,0,1,0,4,6,0,
84,51.41566,-0.32521,24,,0,6,No,Yes,No,Yes,No,No,Yes,No,
85,51.41576,-0.32311,24,,0,0,No,Yes,No,Yes,No,No,No,No,
86,51.41566,-0.32063,24,,0,0,No,Yes,No,Yes,No,No,No,No,
87,51.41719,-0.35449,24,,3,0,0,33,0,90,0,0,0,0,
88,51.41707,-0.35247,20,,0,5,0,0,0,24,0,0,26,0,
89,51.41724,-0.35107,24,,0,0,0,27,0,12,0,0,3,0,
90,51.41706,-0.34802,24,,0,0,0,20,0,10,0,0,0,0,
91,51.41709,-0.3458,16,,0,1,0,7,0,18,0,0,0,0,
92,51.41763,-0.34396,24,,0,0,No,Yes,No,Yes,No,No,No,No,
93,51.41709,-0.34123,22,,0,1,0,26,0,17,0,0,0,0,
94,51.41712,-0.33896,24,,0,0,0,52,0,0,0,0,0,0,
95,51.41731,-0.33771,27,,1,3,0,3,1,113,0,0,0,0,
96,51.41703,-0.33407,24,,0,1,0,59,1,6,0,0,0,0,
97,51.41709,-0.33207,24,,0,1,0,3,3,1,0,0,0,0,
98,51.41709,-0.32978,24,,0,1,0,1,0,3,0,0,4,0,
99,51.41689,-0.32788,8,,0,0,0,1,0,5,0,1,64,0,
100,51.41709,-0.32521,0,Y,,,,,,,,,,,
101,51.41709,-0.32292,24,,0,4,0,2,0,3,0,0,0,0,
102,51.41709,-0.32063,24,,0,0,No,Yes,No,Yes,No,No,No,No,
103,51.41848,-0.35681,0,Y,,,,,,,,,,,
104,51.41842,-0.35471,24,,0,0,0,16,0,4,0,0,0,0,
105,51.41885,-0.35278,21,,0,0,0,4,0,0,0,0,0,0,
106,51.41849,-0.35139,24,,2,3,0,3,0,33,0,0,19,0,
107,51.41878,-0.34795,24,,0,1,0,3,0,0,0,0,0,0,
108,51.41852,-0.3458,24,,0,0,0,12,0,3,0,0,0,0,
109,51.4185287,-0.343519,22,,0,0,0,116,0,13,0,0,0,0,
110,51.41852,-0.34123,24,,0,0,No,Yes,No,Yes,No,No,No,No,
