placeID,Lat,Long,Nights.active,Cat,Fox
71,51.41577,-0.35479,11,0,1
72,51.41554,-0.3532,21,0,1
73,51.41561,-0.35068,21,0,1
74,51.41587,-0.3479,24,0,1
75,51.41566,-0.3458,24,0,1
76,51.41587,-0.34445,24,0,1
77,51.41564,-0.34108,24,0,1
78,51.41567,-0.33893,14,0,1
79,51.41568,-0.33637,27,0,1
80,51.41566,-0.33436,24,0,1
81,51.41566,-0.33207,24,1,1
82,51.41568,-0.33003,23,0,1
83,51.41576,-0.32746,24,0,1
84,51.41566,-0.32521,24,0,1
85,51.41576,-0.32311,24,0,1
86,51.41566,-0.32063,24,0,1
87,51.41719,-0.35449,24,0,1
88,51.41707,-0.35247,20,0,1
89,51.41724,-0.35107,24,0,1
90,51.41706,-0.34802,24,0,1
91,51.41709,-0.3458,16,0,1
92,51.41763,-0.34396,24,0,1
93,51.41709,-0.34123,22,0,1
94,51.41712,-0.33896,24,0,0
95,51.41731,-0.33771,27,0,1
96,51.41703,-0.33407,24,0,1
97,51.41709,-0.33207,24,0,1
98,51.41709,-0.32978,24,0,1
99,51.41689,-0.32788,8,0,1
100,51.41709,-0.32521,0,,
101,51.41709,-0.32292,24,0,1
102,51.41709,-0.32063,24,0,1
103,51.41848,-0.35681,0,,
104,51.41842,-0.35471,24,0,1
105,51.41885,-0.35278,21,0,0
106,51.41849,-0.35139,24,0,1
107,51.41878,-0.34795,24,0,0
108,51.41852,-0.3458,24,0,1
109,51.4185287,-0.343519,22,0,1
110,51.41852,-0.34123,24,0,1
111,51.4190005,-0.3389277,14,0,1
112,51.4189896,-0.33630417,0,,
113,51.41852,-0.3343,24,0,1
114,51.41852,-0.33207,45,0,1
115,51.41852,-0.32978,24,0,1
116,51.4191253,-0.3285973,31,0,1
117,51.41853,-0.32517,24,0,1
118,51.42091,-0.35471,24,0,1
119,51.42048,-0.35334,24,0,1
120,51.42056,-0.35147,2,0,1
121,51.41976,-0.34827,19,0,1
122,51.41995,-0.3458,24,0,1
123,51.41983731,-0.341065,24,0,1
124,51.42008235,-0.33892084,24,0,0
125,51.41995,-0.33436,24,0,1
126,51.41995,-0.33207,31,0,1
127,51.41995,-0.32978,24,0,1
128,51.42133,-0.35542,25,0,1
129,51.42115,-0.35244,6,0,1
130,51.42138,-0.35038,22,0,0
131,51.42138,-0.34809,24,0,0
132,51.42153,-0.34491,0,,
133,51.42094657,-0.34075487,24,0,1
134,51.42125242,-0.33899756,32,0,1
135,51.4239,-0.3574,24,0,1
136,51.42282,-0.35496,36,1,1
137,51.423282,-0.351601,24,0,1
138,51.42285,-0.35095,24,0,1
139,51.42293,-0.3481,21,0,1
140,51.4233,-0.34561,24,0,1
141,51.42425,-0.35724,24,0,1
142,51.42425,-0.35496,24,0,1
143,51.42425,-0.35267,22,0,1
144,51.42431,-0.3504,0,,
145,51.42425,-0.34809,0,,
146,51.42425,-0.3458,24,0,1
147,51.42587,-0.35438,0,,
148,51.42568,-0.35267,24,0,1
149,51.42534,-0.351,24,0,1
150,51.42593,-0.34813,21,0,1
